dataset;x;y
4;55.38460159;97.17949677
4;51.53850174;96.02559662
4;46.15380096;94.48719788
4;42.82049942;91.41030121
4;40.76919937;88.33329773
4;38.71789932;84.87180328
4;35.64099884;79.87180328
4;33.07690048;77.56410217
4;28.97439957;74.48719788
4;26.15379906;71.41030121
4;23.07690048;66.41030121
4;22.3076992;61.79489899
4;22.3076992;57.17950058
4;23.33329964;52.94869995
4;25.8973999;51.02560043
4;29.48719978;51.02560043
4;32.82049942;51.02560043
4;35.38460159;51.41030121
4;40.25640106;51.41030121
4;44.1026001;52.94869995
4;46.66669846;54.1026001
4;50;55.25640106
4;53.07690048;55.64099884
4;56.66669846;56.02560043
4;59.23080063;57.94869995
4;61.28210068;62.17950058
4;61.53850174;66.41030121
4;61.79489899;69.1026001
4;57.43590164;55.25640106
4;54.87179947;49.87179947
4;52.56409836;46.02560043
4;48.20510101;38.33330154
4;49.48720169;42.17950058
4;51.02560043;44.1026001
4;45.38460159;36.41030121
4;42.82049942;32.56409836
4;38.71789932;31.4102993
4;35.12820053;30.25639915
4;32.56409836;32.17950058
4;30;36.79489899
4;33.58969879;41.41030121
4;36.66669846;45.64099884
4;38.20510101;49.1026001
4;29.74360085;36.02560043
4;29.74360085;32.17950058
4;30;29.1026001
4;32.05130005;26.79490089
4;35.8973999;25.25639915
4;41.02560043;25.25639915
4;44.1026001;25.64100075
4;47.17950058;28.71800041
4;49.48720169;31.4102993
4;51.53850174;34.87179947
4;53.58969879;37.56409836
4;55.12820053;40.64099884
4;56.66669846;42.17950058
4;59.23080063;44.48720169
4;62.30770111;46.02560043
4;64.87180328;46.79489899
4;67.94869995;47.94869995
4;70.51280212;53.7179985
4;71.53849792;60.64099884
4;71.53849792;64.48719788
4;69.48719788;69.48719788
4;46.92309952;79.87180328
4;48.20510101;84.1026001
4;50;85.25640106
4;53.07690048;85.25640106
4;55.38460159;86.02559662
4;56.66669846;86.02559662
4;56.15380096;82.94869995
4;53.84619904;80.64099884
4;51.28210068;78.71800232
4;50;78.71800232
4;47.94869995;77.56410217
4;29.74360085;59.87179947
4;29.74360085;62.17950058
4;31.28210068;62.56409836
4;57.94869995;99.48719788
4;61.79489899;99.1026001
4;64.87180328;97.56410217
4;68.46150208;94.1026001
4;70.76920319;91.02559662
4;72.05130005;86.41030121
4;73.84619904;83.33329773
4;75.12819672;79.1026001
4;76.66670227;75.25640106
4;77.69229889;71.41030121
4;79.74359894;66.79489899
4;81.79489899;60.25640106
4;83.33329773;55.25640106
4;85.12819672;51.41030121
4;86.41030121;47.56409836
4;87.94869995;46.02560043
4;89.48719788;42.56409836
4;93.33329773;39.87179947
4;95.38459778;36.79489899
4;98.20510101;33.7179985
4;56.66669846;40.64099884
4;59.23080063;38.33330154
4;60.76919937;33.7179985
4;63.07690048;29.1026001
4;64.1026001;25.25639915
4;64.35900116;24.1026001
